"Question","Answer"
"1. What are intermolecular forces?","Weak forces of attraction between molecules, weaker than covalent or ionic bonds."
"2. What are the three main types of intermolecular forces?","London (dispersion) forces, permanent dipole–dipole interactions, and hydrogen bonds."
"3. What causes London dispersion forces?","Temporary dipoles formed due to uneven distribution of electrons."
"4. What affects the strength of London forces?","More electrons and greater surface area (longer chain or larger molecule) increase the strength."
"5. How do London forces affect boiling points?","Higher London forces result in higher boiling points as more energy is required to overcome them."
"6. What are permanent dipole–dipole interactions?","Attractions between molecules with permanent dipoles, aligned oppositely."
"7. Why are dipole–dipole interactions weaker in liquids?","Random motion and thermal energy disrupt alignment of dipoles."
"8. Which type of intermolecular force is strongest?","Hydrogen bonding, a strong dipole–dipole interaction involving H bonded to N, O, or F."
"9. What conditions are required for hydrogen bonding?","A hydrogen atom covalently bonded to N, O, or F, and a lone pair on another N, O, or F atom."
"10. Which molecules show hydrogen bonding?","H₂O, NH₃, HF, alcohols (–OH), and amines (–NH₂)."
"11. Why does water have an unusually high boiling point?","Due to extensive hydrogen bonding between water molecules."
"12. What is the structure of ice?","Open hexagonal lattice held by hydrogen bonds, less dense than liquid water."
"13. How does branching affect boiling points of alkanes?","More branching decreases surface contact → weaker London forces → lower boiling points."
"14. Why do straight-chain alkanes have higher boiling points?","Greater contact surface area → stronger London dispersion forces."
"15. What trend is seen in boiling points of unbranched alkanes?","Boiling point increases with chain length due to more electrons and stronger London forces."
"16. Why do alcohols have higher boiling points than alkanes?","Hydrogen bonding in alcohols requires more energy to break."
"17. What is the dominant force in alcohols?","Hydrogen bonding between –OH groups."
"18. Why is methanol's enthalpy change of vaporisation higher than ethane's?","Stronger hydrogen bonding in methanol requires more energy to vaporise."
"19. What is the boiling point trend in hydrogen halides (HF to HI)?","Boiling point decreases from HF to HCl due to weakening hydrogen bonding, then increases due to increasing London forces."
"20. Why is HF's boiling point an anomaly among hydrogen halides?","HF has strong hydrogen bonds; others do not."
"21. Why does water expand when it freezes?","Hydrogen bonds hold water molecules in an open hexagonal structure with spaces."
"22. What does 'like dissolves like' mean?","Polar solutes dissolve in polar solvents; non-polar solutes dissolve in non-polar solvents."
"23. What is solvation?","The process where solvent particles surround solute particles during dissolution."
"24. What is hydration?","Specific term for solvation when the solvent is water."
"25. What happens when NaCl dissolves in water?","Na⁺ and Cl⁻ ions are surrounded by water molecules through ion–dipole interactions."
"26. What is shown in the dissolution diagram of NaCl (page 11)?","Na⁺ ions attracted to O in H₂O; Cl⁻ ions attracted to H in H₂O."
"27. Which compounds form hydrogen bonds with water?","Alcohols (e.g., ethanol) and compounds with –OH or –NH groups."
"28. Why don't alkanes mix with water?","They are non-polar and cannot form hydrogen bonds with water."
"29. What determines miscibility of organic compounds in water?","Presence of polar groups like –OH and molecular size (smaller = more soluble)."
"30. What is the learning tip for solubility (page 13)?","Solubility depends on both ability to form hydrogen bonds and hydrocarbon chain length."
"31. What is the boiling point of ethanol?","78.5°C"
"32. What is the boiling point of methoxymethane (CH₃OCH₃)?","–24.8°C"
"33. Why does ethanol have a higher boiling point than methoxymethane?","Ethanol forms hydrogen bonds; methoxymethane only has dipole interactions."
"34. What is the enthalpy of vaporisation for CH₃CH₂CH₂CH₂OH?","52.0 kJ mol⁻¹"
"35. What is the enthalpy of vaporisation for CH₃CH₂CH₂CH₃?","20.0 kJ mol⁻¹"
"36. What conclusion can be drawn from these enthalpy differences?","Hydrogen bonding in alcohols significantly increases vaporisation energy."
"37. Define intermolecular forces and explain why they are generally weaker than intramolecular forces.","Intermolecular forces are the attractive forces that exist between separate molecules. They are weaker than intramolecular forces (such as covalent bonds) because they rely on relatively weak electrostatic attractions between partial charges or temporary dipoles, rather than the sharing or transfer of electrons."
